,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
73,2018-01-01,7200,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,BATON NUTELLA 2 SZT,2.0,"2,13",4.26,3.0,29.0,08:52 AM,04:31 PM,6,79,89,8,5.5
74,2018-01-01,8425,SWEETS,BATON PIEROT WEDEL 45GR,3.0,"1,12",3.36,1.62,30.86,08:52 AM,04:31 PM,6,79,89,8,5.5
75,2018-01-01,5838,SWEETS,BATON SNICKERS 50 G,11.0,"1,04",11.44,1.46,28.77,08:52 AM,04:31 PM,6,79,89,8,5.5
76,2018-01-01,15436,SWEETS,BATON TWIX 56 G,9.0,"0,96",8.64,1.44,33.33,08:52 AM,04:31 PM,6,79,89,8,5.5
77,2018-01-01,8517,SWEETS,BATONIK MUU 29 G,2.0,"0,52",1.04,0.87,40.23,08:52 AM,04:31 PM,6,79,89,8,5.5
78,2018-01-01,8518,SWEETS,BATONIK POWER 30 G,1.0,"0,66",0.66,0.89,25.84,08:52 AM,04:31 PM,6,79,89,8,5.5
79,2018-01-01,9572,SPICES,BAZYLIA PRYMAT,3.0,"0,96",2.88,1.13,15.04,08:52 AM,04:31 PM,6,79,89,8,5.5
80,2018-01-01,8771,DISHES_FOR_CHILDREN,BEBIKO 1,2.0,"15,34",30.68,20.36,24.66,08:52 AM,04:31 PM,6,79,89,8,5.5
81,2018-01-01,3646,ART._HYGIENIC,BELLA HERBS 12 Z WERBENA,1.0,"2,39",2.39,3.6,33.61,08:52 AM,04:31 PM,6,79,89,8,5.5
82,2018-01-01,6436,CHEMISTRY,BELLA PATYCZKI 100 SZT FOLIA,2.0,"0,72",1.44,1.67,56.89,08:52 AM,04:31 PM,6,79,89,8,5.5
83,2018-01-01,17047,CHEMISTRY,BELLA PODPASKI  MAX GREEN,2.0,"2,85",5.7,4.53,37.09,08:52 AM,04:31 PM,6,79,89,8,5.5
84,2018-01-01,17048,ART._HYGIENIC,BELLA PODPASKI BLUE MAX,2.0,"2,85",5.7,4.53,37.09,08:52 AM,04:31 PM,6,79,89,8,5.5
85,2018-01-01,41,ART._HYGIENIC,BELLA PODPASKI NORMAL 20 B/SKRZYD,2.0,"1,76",3.52,2.49,29.32,08:52 AM,04:31 PM,6,79,89,8,5.5
